title,is_answered,creation_timestamp,creation_date,year,month,answer_count,score,view_count,tags,year_month,comparative_year,Technology
Azure data factory,True,1419314244,2014-12-23,2014,12,1,1,759,"['azure', 'azure-data-factory', 'cortana-intelligence']",201412,0,Azure Data Factory
"Azure Data Factory, unable to connect to linked service",False,1429195170,2015-04-16,2015,4,1,2,1761,"['azure', 'azure-sql-database', 'azure-data-factory', 'cortana-intelligence']",201504,1,Azure Data Factory
Azure data factory and stored procedure,True,1429517685,2015-04-20,2015,4,1,0,5278,"['azure', 'stored-procedures', 'azure-data-factory', 'cortana-intelligence']",201504,1,Azure Data Factory
Azure data factory slicestart format error,False,1429532029,2015-04-20,2015,4,2,1,425,"['azure', 'cortana-intelligence', 'azure-data-factory']",201504,1,Azure Data Factory
Azure Data factor error Copy activity encountered an unknown server error,False,1430850095,2015-05-05,2015,5,1,-1,819,"['azure', 'factory', 'vpn', 'azure-data-factory']",201505,1,Azure Data Factory
Can Azure Data Factory be used to generate a CSV in an Azure Blob,True,1431377352,2015-05-11,2015,5,1,2,4769,"['c#', 'azure', 'azure-blob-storage', 'azure-data-factory', 'cortana-intelligence']",201505,1,Azure Data Factory
In azure datafactory how to copy data from blob to sql without duplication?,True,1431503499,2015-05-13,2015,5,3,2,4051,"['azure', 'azure-sql-database', 'azure-data-factory']",201505,1,Azure Data Factory
Azure Data Factory: LinkedService for AzureSql in failed state,True,1433785753,2015-06-08,2015,6,3,1,2026,"['azure', 'azure-sql-database', 'azure-data-factory', 'cortana-intelligence']",201506,1,Azure Data Factory
Deploying Azure Data Factory using ARM Templates,True,1436387102,2015-07-08,2015,7,1,5,3207,"['azure', 'azure-resource-manager', 'azure-data-factory', 'cortana-intelligence']",201507,1,Azure Data Factory
scheduled 1:1 copy of tables between Azure SQL databases using Data Factory without specifying table schema,True,1439891879,2015-08-18,2015,8,1,3,1147,"['azure', 'azure-sql-database', 'azure-data-factory', 'azure-sqldw']",201508,1,Azure Data Factory
Populate Azure Data Factory dataset from query,True,1442359588,2015-09-16,2015,9,2,4,5380,"['azure', 'azure-sql-database', 'azure-data-factory', 'cortana-intelligence']",201509,1,Azure Data Factory
Azure Data Factory: Moving data from Table Storage to SQL Azure,True,1442824630,2015-09-21,2015,9,1,0,2406,"['azure', 'azure-data-factory', 'cortana-intelligence']",201509,1,Azure Data Factory
Database Operation Failed: Azure SQL and Azure Data Factory,True,1442831366,2015-09-21,2015,9,1,2,2524,"['azure', 'azure-sql-database', 'azure-data-factory']",201509,1,Azure Data Factory
Azure Data Factory &#39;Pending Validation&#39;,True,1442898248,2015-09-22,2015,9,4,3,3922,"['azure', 'azure-data-factory', 'cortana-intelligence']",201509,1,Azure Data Factory
Dynamic selection of storage table in azure data factory,False,1443537321,2015-09-29,2015,9,2,0,450,"['azure', 'apache-pig', 'azure-storage', 'azure-hdinsight', 'azure-data-factory']",201509,1,Azure Data Factory
Which activity is used to move files with in Azure blob storage,False,1444308071,2015-10-08,2015,10,2,1,905,"['azure', 'azure-data-factory']",201510,1,Azure Data Factory
How to delete a folder in an azure data factory pipeline?,True,1447824504,2015-11-18,2015,11,1,2,2838,"['azure', 'azure-data-factory', 'cortana-intelligence']",201511,1,Azure Data Factory
How to avoid hdinsight on demand in azure data factory from creating a new container everytime,False,1447906038,2015-11-19,2015,11,2,0,783,"['azure', 'azure-hdinsight', 'azure-data-factory']",201511,1,Azure Data Factory
