title,is_answered,creation_timestamp,creation_date,year,month,answer_count,score,view_count,tags,year_month,comparative_year,Technology
Simplest method for text lemmatization in Scala and Spark,True,1431541543,2015-05-13,2015,5,3,6,7188,"['scala', 'apache-spark', 'text', 'databricks', 'lemmatization']",201505,0,Databricks
Install python CV2 on spark cluster(data bricks),True,1467266716,2016-06-30,2016,6,2,0,1276,"['python', 'opencv', 'apache-spark', 'pyspark', 'databricks']",201606,1,Databricks
`error: Could not deserialize` when importing a JAR file,True,1467463856,2016-07-02,2016,7,1,1,183,"['java', 'scala', 'jar', 'databricks']",201607,1,Databricks
Apache Spark accessing the data in hdfs through cross cluster,True,1467636779,2016-07-04,2016,7,1,1,1202,"['hadoop', 'apache-spark', 'amazon-emr', 'databricks']",201607,1,Databricks
spark-avro databricks package,True,1468173539,2016-07-10,2016,7,1,3,2325,"['apache-spark', 'avro', 'databricks']",201607,1,Databricks
Spark Redshift with Python,True,1468242024,2016-07-11,2016,7,6,5,17887,"['apache-spark', 'amazon-redshift', 'databricks']",201607,1,Databricks
Does Databricks provide a recommended spark parameters for a given cluster and dataset?,True,1468273150,2016-07-11,2016,7,1,-1,813,"['hadoop', 'apache-spark', 'apache-spark-sql', 'databricks', 'bigdata']",201607,1,Databricks
Spark: Read an inputStream instead of File,True,1469049200,2016-07-20,2016,7,1,14,9650,"['java', 'apache-spark', 'apache-spark-sql', 'spark-dataframe', 'databricks']",201607,1,Databricks
N1QL Query to connect databricks spark 1.6 to couchbase server 4.5,True,1469635344,2016-07-27,2016,7,2,1,264,"['scala', 'couchbase', 'n1ql', 'databricks']",201607,1,Databricks
How to export data from a dataframe to a file databricks,True,1469642147,2016-07-27,2016,7,3,7,33166,"['apache-spark', 'pyspark', 'databricks']",201607,1,Databricks
spark: dataframe.count yields way more rows than printing line by line or show(),True,1470081577,2016-08-01,2016,8,2,1,2025,"['apache-spark', 'apache-spark-sql', 'spark-dataframe', 'databricks']",201608,1,Databricks
spark: row to element,True,1470172963,2016-08-02,2016,8,1,0,607,"['apache-spark', 'apache-spark-sql', 'spark-dataframe', 'databricks']",201608,1,Databricks
XML source for Spark and groupby operation,True,1470352703,2016-08-05,2016,8,1,1,87,"['apache-spark', 'apache-spark-sql', 'spark-dataframe', 'databricks']",201608,1,Databricks
Databricks spark-csv check for empty file,True,1470693582,2016-08-08,2016,8,1,1,904,"['java', 'csv', 'apache-spark', 'databricks']",201608,1,Databricks
Spark executor GC taking long,True,1471314733,2016-08-16,2016,8,1,5,848,"['apache-spark', 'apache-spark-sql', 'databricks']",201608,1,Databricks
Automate zeppelin notebooks,True,1471530256,2016-08-18,2016,8,1,0,3397,"['apache-spark', 'apache-zeppelin', 'spark-notebook', 'databricks']",201608,1,Databricks
How to convert column type from str to date when the str is of format dd/mm/yyyy?,True,1471583078,2016-08-19,2016,8,2,1,470,"['sql', 'date', 'apache-spark-sql', 'spark-csv', 'databricks']",201608,1,Databricks
How do I create a Hive External table from AVRO files writen using databricks?,False,1471627773,2016-08-19,2016,8,1,1,1363,"['scala', 'apache-spark', 'hive', 'avro', 'databricks']",201608,1,Databricks
How to convert sql table into a pyspark/python data structure and return back to sql in databricks notebook,True,1471634397,2016-08-19,2016,8,2,1,3014,"['python', 'sql', 'apache-spark', 'databricks']",201608,1,Databricks
