title,is_answered,creation_timestamp,creation_date,year,month,answer_count,score,view_count,tags,year_month,Technology
Does or does not SQL Azure support CLR assemblies?,True,1463735265,2016-05-20,2016,5,4,19,15159,"['sql-server', 'azure', 'azure-sql-database', 'sqlclr', 'azure-sql-managed-instance']",201605,Azure SQL Managed Instance
Does user is charged for using azure managed instance in free trail period?,False,1538050956,2018-09-27,2018,9,1,0,299,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",201809,Azure SQL Managed Instance
Azure Managed instance can&#39;t create or restore DB,False,1538593845,2018-10-03,2018,10,1,1,588,"['sql-server', 'azure', 'azure-sql-managed-instance']",201810,Azure SQL Managed Instance
Does Azure charges for using VPN in SQL Database Managed Instance?,False,1538982321,2018-10-08,2018,10,1,0,67,"['azure-sql-database', 'azure-virtual-network', 'azure-sql-managed-instance']",201810,Azure SQL Managed Instance
Performance of using multiple filegroups in SQL Managed Instance,True,1539134442,2018-10-10,2018,10,1,0,914,"['sql-server', 'azure-sql-managed-instance']",201810,Azure SQL Managed Instance
Database creation/deletion times on Azure SQL DB Managed Instances take a long time,True,1539265752,2018-10-11,2018,10,1,3,420,['azure-sql-managed-instance'],201810,Azure SQL Managed Instance
Managed Instance Connection Python,False,1539618367,2018-10-15,2018,10,0,0,271,"['python', 'azure-sql-database', 'pymssql', 'azure-sql-managed-instance']",201810,Azure SQL Managed Instance
ALTER DATABASE ADD FILE fails due to running backup in azure sql Managed instance,False,1539676222,2018-10-16,2018,10,1,0,310,['azure-sql-managed-instance'],201810,Azure SQL Managed Instance
Dynamics Data Export Service to Azure SQL Managed Instance,True,1540041622,2018-10-20,2018,10,1,0,409,"['dynamics-crm', 'microsoft-dynamics', 'dynamics-365', 'data-export', 'azure-sql-managed-instance']",201810,Azure SQL Managed Instance
Can the NSG be applied to the Subnet AFTER the Azure SQL Managed Instance is deployed into the subnet?,True,1540232306,2018-10-22,2018,10,1,4,3935,['azure-sql-managed-instance'],201810,Azure SQL Managed Instance
View Server State and View All Definitions in SQL Managed Instance,False,1540294836,2018-10-23,2018,10,1,1,332,"['sql-server', 'azure', 'azure-sql-managed-instance']",201810,Azure SQL Managed Instance
Azure DevOps Deployment to Azure SQL Managed Database,True,1540364248,2018-10-24,2018,10,2,0,1222,"['azure-devops', 'azure-sql-managed-instance']",201810,Azure SQL Managed Instance
Azure Managed Instance and Failover / DR Options,True,1541080077,2018-11-01,2018,11,2,2,1827,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",201811,Azure SQL Managed Instance
How to cancel restore command in Azure SQL Managed Instance,True,1541427540,2018-11-05,2018,11,1,4,1185,"['azure-sql-database', 'azure-sql-managed-instance']",201811,Azure SQL Managed Instance
Unable to create client VM that access Azure Sql Managed Instance due to core quota limit,True,1541434905,2018-11-05,2018,11,1,0,226,"['azure', 'azure-sql-managed-instance']",201811,Azure SQL Managed Instance
Connection problem Azure Managed Instance and Data Factory with Windows authentication,False,1542872089,2018-11-22,2018,11,1,0,706,"['azure', 'windows-authentication', 'azure-data-factory-2', 'azure-sql-managed-instance']",201811,Azure SQL Managed Instance
Increase Azure SQL Managed Instance backup retention beyond 7 days,False,1542895807,2018-11-22,2018,11,3,0,1628,"['azure', 'azure-sql-managed-instance']",201811,Azure SQL Managed Instance
TDE on Azure SQL Managed Instance,False,1542896726,2018-11-22,2018,11,1,0,886,['azure-sql-managed-instance'],201811,Azure SQL Managed Instance
Azure SQL Timeout after query inactivity,True,1543176851,2018-11-25,2018,11,1,0,1218,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",201811,Azure SQL Managed Instance
What is the difference between Azure SQL Database Elastic Pools and Azure SQL Database Managed Instance?,True,1544805709,2018-12-14,2018,12,1,9,12945,"['azure', 'azure-sql-database', 'azure-sql-managed-instance']",201812,Azure SQL Managed Instance
How to apply Azure Hybrid Benefit to Managed Instance?,True,1547033958,2019-01-09,2019,1,2,3,941,"['azure', 'price', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
How to reset sql admin password on Azure SQL Managed Instance?,True,1547040070,2019-01-09,2019,1,1,1,1618,"['azure', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
What to do if Azure SQL Managed Instance reaches the max storage limit?,True,1547224073,2019-01-11,2019,1,1,0,1337,"['azure', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
Is Possible to connect Azure SQL managed Instance from Azure SQL DB?,True,1547431504,2019-01-14,2019,1,1,1,248,"['azure-sql-database', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
How to create Azure SQL Managed Instance using AzureRm.Sql PowerShell library?,True,1547734970,2019-01-17,2019,1,1,1,171,"['sql-server', 'azure', 'azure-sql-managed-instance']",201901,Azure SQL Managed Instance
