title,is_answered,creation_timestamp,creation_date,year,month,answer_count,score,view_count,tags,year_month,comparative_year,Technology
Microsoft business intelligence platform vs QlikView,True,1337010927,2012-05-14,2012,5,4,12,12333,"['business-intelligence', 'powerpivot', 'qlikview', 'powerbi', 'qliksense']",201205,0,Power BI
Setting Excel power view settings from c# app,True,1379932721,2013-09-23,2013,9,1,3,665,"['c#', '.net', 'excel', 'powerview', 'powerbi']",201309,1,Power BI
Power BI Admin connection string allows only 500 chars?,True,1394659250,2014-03-12,2014,3,1,1,170,"['business-intelligence', 'office365', 'office365-apps', 'powerbi']",201403,2,Power BI
Excel Power Query - convert date time from UTC to Local,True,1396399761,2014-04-02,2014,4,1,5,5920,"['sql-server', 'excel', 'excel-formula', 'powerbi', 'powerquery']",201404,2,Power BI
Power BI in Office 365,True,1404104293,2014-06-30,2014,6,3,1,825,"['excel', 'business-intelligence', 'office365', 'powerbi']",201406,2,Power BI
"power pivot import from multiple excel tables, skips some columns",True,1415993849,2014-11-14,2014,11,1,0,912,"['excel', 'powerpivot', 'powerbi']",201411,2,Power BI
How to efficiently fetch an earlier row that is unique through two attributes?,True,1416321484,2014-11-18,2014,11,3,1,188,"['excel', 'excel-formula', 'powerpivot', 'powerbi']",201411,2,Power BI
Microsoft Power BI connect to mysql,True,1419331551,2014-12-23,2014,12,1,3,12659,['powerbi'],201412,2,Power BI
PowerBI &amp; Azure Client App Permissions to other applications,False,1420301029,2015-01-03,2015,1,2,0,628,"['azure', 'powerbi']",201501,3,Power BI
Total Messages vs. Day &amp; Hour in Power view chart,False,1420608643,2015-01-07,2015,1,1,0,138,"['powerview', 'powerbi']",201501,3,Power BI
Powerpivot: Subtract first member of group,True,1420724578,2015-01-08,2015,1,2,0,279,"['business-intelligence', 'powerpivot', 'dax', 'powerbi']",201501,3,Power BI
Creating a histogram in excel using m code / DAX,True,1420731484,2015-01-08,2015,1,1,0,402,"['excel', 'statistics', 'dax', 'm', 'powerbi']",201501,3,Power BI
Excel web access web part loading twice,True,1421053430,2015-01-12,2015,1,1,0,223,"['web-parts', 'sharepoint-online', 'powerview', 'powerbi']",201501,3,Power BI
Power BI (cloud) + SSAS Cubes,True,1421087954,2015-01-12,2015,1,3,3,2457,"['sql-server', 'ssis', 'ssas', 'business-intelligence', 'powerbi']",201501,3,Power BI
Hyperlinks in power view not work,False,1421949212,2015-01-22,2015,1,1,-1,1143,['powerbi'],201501,3,Power BI
Connecting to Tabular Server in &quot;Analysis Services Connector&quot;,True,1422559911,2015-01-29,2015,1,1,1,754,"['sql-server', 'ssas', 'ssas-tabular', 'powerbi']",201501,3,Power BI
Cannot add &#39;Power BI Service&#39; in Azure Active Directory to use Power BI API&#39;s,True,1422728935,2015-01-31,2015,1,1,4,1431,"['c#', 'azure', 'powerbi']",201501,3,Power BI
How can I remove duplicate rows (in Excel) based on another column&#39;s values?,True,1423857368,2015-02-13,2015,2,1,1,610,"['excel', 'powerbi']",201502,3,Power BI
Microsoft Power BI and ElasticSearch,True,1424871209,2015-02-25,2015,2,2,8,5599,"['elasticsearch', 'powerbi']",201502,3,Power BI
Power BI &amp; Dynamics CRM - Expand for lookups,True,1424961037,2015-02-26,2015,2,1,0,593,"['dynamics-crm', 'powerbi']",201502,3,Power BI
How to bulk-import all Power Query workbook connections into PowerPivot?,True,1425386583,2015-03-03,2015,3,3,0,1064,"['excel', 'excel-2010', 'powerpivot', 'powerquery', 'powerbi']",201503,3,Power BI
SharePoint export to excel filtered list data based on row level security,True,1426154036,2015-03-12,2015,3,1,0,1400,"['excel', 'sharepoint', 'odata', 'office365', 'powerbi']",201503,3,Power BI
Power BI API Limits,True,1426264834,2015-03-13,2015,3,1,7,4443,['powerbi'],201503,3,Power BI
Failed to update model parameters,True,1426730489,2015-03-19,2015,3,3,-1,422,"['dynamics-crm-online', 'powerbi']",201503,3,Power BI
How to get real time votes from a page into Power BI dashboard?,False,1426764903,2015-03-19,2015,3,1,0,145,"['excel', 'office365', 'powerbi']",201503,3,Power BI
