title,is_answered,creation_timestamp,creation_date,year,month,answer_count,score,view_count,tags,year_month,comparative_year,Technology
Connecting to SQL Azure,True,1251101394,2009-08-24,2009,8,2,0,287,"['sql-server', 'azure-sql-database']",200908,0,Azure SQL Database
How do I check if a stored procedure exists in SQL Azure?,True,1252010789,2009-09-03,2009,9,2,0,1603,"['stored-procedures', 'azure-sql-database']",200909,0,Azure SQL Database
How can I detect which version of SQL (eg SQL 2008 or SQL Azure),True,1252011733,2009-09-03,2009,9,1,3,247,"['sql-server-2008', 'azure-sql-database']",200909,0,Azure SQL Database
"simpledb, sql azure, mysql + memcached",True,1253045372,2009-09-15,2009,9,2,1,759,"['asp.net', 'mysql', 'memcached', 'amazon-simpledb', 'azure-sql-database']",200909,0,Azure SQL Database
Azure - Unable To Get SQL Azure Invitation Code!,True,1253876391,2009-09-25,2009,9,4,1,803,"['azure', 'azure-sql-database']",200909,0,Azure SQL Database
Convert C# Silverlight App To AZURE CLOUD Platform?,True,1254932902,2009-10-07,2009,10,2,2,1661,"['silverlight', 'azure', 'cloud', 'azure-sql-database']",200910,0,Azure SQL Database
Does SQL Azure Support Relational Databases?,True,1255016715,2009-10-08,2009,10,4,2,1384,"['azure', 'azure-sql-database']",200910,0,Azure SQL Database
Convert ADO.Net EF Connection String To Be SQL Azure Cloud Connection String Compatible?,True,1255085258,2009-10-09,2009,10,1,1,3198,"['azure', 'cloud', 'azure-sql-database']",200910,0,Azure SQL Database
SQL Azure via Visual Studio,True,1255721678,2009-10-16,2009,10,4,0,1356,['azure-sql-database'],200910,0,Azure SQL Database
Problem while connecting to cloud database,True,1256191766,2009-10-22,2009,10,4,1,1012,['azure-sql-database'],200910,0,Azure SQL Database
Cloud Database problem while connecting thru SSMS,True,1256570552,2009-10-26,2009,10,1,0,160,"['azure-sql-database', 'clouddb']",200910,0,Azure SQL Database
TSQL subset supported in Windows Azure Data Services?,True,1256593079,2009-10-26,2009,10,1,0,115,"['sql-server', 'tsql', 'azure-sql-database']",200910,0,Azure SQL Database
SQL Azure and support for CTE syntax?,True,1256648064,2009-10-27,2009,10,1,4,2471,"['sql-server', 'azure', 'common-table-expression', 'azure-sql-database']",200910,0,Azure SQL Database
