title,is_answered,creation_timestamp,creation_date,year,month,answer_count,score,view_count,tags,year_month,comparative_year,Technology
DROP TABLE IF EXISTS not working on Azure SQL Data Warehouse,True,1518563549,2018-02-13,2018,2,4,8,10820,"['azure-sql-database', 'azure-sqldw', 'azure-sql-data-warehouse', 'azure-synapse']",201802,0,Azure Synapse
Copy data in Azure SQL DW by using ADF(Staged copy by using Polybase dosen&#39;t work according to documentation),False,1574439869,2019-11-22,2019,11,1,2,430,"['azure', 'azure-data-factory', 'azure-synapse', 'polybase']",201911,1,Azure Synapse
Writing from Databricks to Synapse (Azure DW) very slow,True,1576765546,2019-12-19,2019,12,1,2,1146,"['databricks', 'azure-sql-data-warehouse', 'azure-synapse']",201912,1,Azure Synapse
Transfer table data from SQL Server 2016 to Microsoft Azure Synapse,True,1580917801,2020-02-05,2020,2,1,0,435,"['azure', 'sql-server-2016', 'transfer', 'azure-synapse']",202002,2,Azure Synapse
How to resolve error running Invoke-sqlcmd command to connect to Azure Datawarehouse using Invoke-SQLCMD and Powershell 6?,False,1582087564,2020-02-19,2020,2,0,0,641,"['powershell', 'invoke-sqlcmd', 'parallel-data-warehouse', 'powershell-6.0', 'azure-synapse']",202002,2,Azure Synapse
How to load multiple files from azure blob to azure synapse(Dw) by using azuredatafactory?,True,1582740037,2020-02-26,2020,2,1,0,1502,"['azure-data-factory', 'azure-container-service', 'azure-synapse']",202002,2,Azure Synapse
How to perform concurrent streaming upserts into Azure Synapse Analytics,False,1583162716,2020-03-02,2020,3,0,1,150,['azure-synapse'],202003,2,Azure Synapse
Cannot access ADLS from Synapse Analytics,True,1583237109,2020-03-03,2020,3,1,0,869,"['azure-managed-identity', 'azure-synapse']",202003,2,Azure Synapse
Create external data source in Azure Synapse Analytics (Azure SQL Data warehouse) to Oracle,True,1583259317,2020-03-03,2020,3,1,1,1202,"['external-tables', 'azure-sql-data-warehouse', 'polybase', 'external-data-source', 'azure-synapse']",202003,2,Azure Synapse
Azure Databricks to Azure SQL DW: Long text columns,True,1583311078,2020-03-04,2020,3,1,5,1592,"['pyspark', 'azure-databricks', 'azure-sqldw', 'azure-sql-data-warehouse', 'azure-synapse']",202003,2,Azure Synapse
Azure Synapse replicated to Cosmos DB?,False,1583946228,2020-03-11,2020,3,1,0,162,"['azure-cosmosdb', 'replication', 'azure-synapse']",202003,2,Azure Synapse
Azure Analysis Services versus Synapse Analytics,True,1584104212,2020-03-13,2020,3,2,4,6913,"['azure', 'azure-analysis-services', 'azure-synapse']",202003,2,Azure Synapse
The below dynamic SQL fails but works fine when I run it manually,True,1584292194,2020-03-15,2020,3,1,0,476,"['sql-server', 'tsql', 'azure-synapse']",202003,2,Azure Synapse
Azure Synapse External Table Location parameterization,True,1584533660,2020-03-18,2020,3,1,0,362,"['azure', 'azure-sql-data-warehouse', 'azure-synapse']",202003,2,Azure Synapse
Read Azure Synapse table with Spark,False,1584956756,2020-03-23,2020,3,2,0,1484,"['apache-spark', 'azure-synapse']",202003,2,Azure Synapse
Azure Synapse - String Delimiter,True,1584967310,2020-03-23,2020,3,2,3,859,"['external-tables', 'azure-sql-data-warehouse', 'azure-synapse']",202003,2,Azure Synapse
Can we use different run-time in Azure Data Factory v2 (ADFv2) Copy Activity?,False,1585150254,2020-03-25,2020,3,2,1,378,"['azure-data-factory', 'azure-synapse']",202003,2,Azure Synapse
Creating Materialized View in Azure Data Warehouse SQL error,True,1585559980,2020-03-30,2020,3,1,0,1044,"['sql', 'azure', 'view', 'materialized', 'azure-synapse']",202003,2,Azure Synapse
Azure Function Azure Synapse - Why do I received blank output,False,1585908062,2020-04-03,2020,4,0,2,208,"['javascript', 'sql-server', 'azure', 'azure-functions', 'azure-synapse']",202004,2,Azure Synapse
Azure Synapse Current_TimeZone?,True,1586353081,2020-04-08,2020,4,1,0,609,"['azure-sql-data-warehouse', 'azure-synapse']",202004,2,Azure Synapse
Queries performances on ADLS gen 2,False,1586741609,2020-04-13,2020,4,1,0,54,"['data-warehouse', 'azure-data-lake', 'external-tables', 'azure-synapse']",202004,2,Azure Synapse
Azure SQL Data Warehouse (Synapse Analytics) Polybase performances with ORC table,False,1586768640,2020-04-13,2020,4,1,2,777,"['orc', 'azure-sql-data-warehouse', 'polybase', 'azure-synapse']",202004,2,Azure Synapse
Extracting and Transforming Data from local MySQL to Azure Synapse Data Warehouse,True,1586789699,2020-04-13,2020,4,1,0,370,"['azure', 'etl', 'azure-data-factory', 'azure-sql-data-warehouse', 'azure-synapse']",202004,2,Azure Synapse
COPY INTO path with wildcards = Index out of range,True,1587117083,2020-04-17,2020,4,2,1,80,"['azure-sqldw', 'azure-synapse']",202004,2,Azure Synapse
How do I read records from Azure Synapse Analytics?,False,1587199994,2020-04-18,2020,4,0,0,111,"['sql-server', 'tsql', 'azure-synapse']",202004,2,Azure Synapse
Azure Data Factory vs Synapse Workspace pipelines,True,1587411893,2020-04-20,2020,4,1,0,705,"['azure', 'azure-data-factory', 'azure-synapse']",202004,2,Azure Synapse
Azure DF - when extracting a datetime from a database into a CSV it sometimes gets interpreted as a datetime2,False,1587714895,2020-04-24,2020,4,1,1,263,"['azure', 'azure-data-factory', 'azure-data-factory-2', 'azure-sql-data-warehouse', 'azure-synapse']",202004,2,Azure Synapse
Slow Azure Data Factory Pipeline,True,1588278862,2020-04-30,2020,4,1,2,2877,"['azure-pipelines', 'azure-data-lake', 'azure-data-factory-2', 'azure-synapse']",202004,2,Azure Synapse
Confusion About Azure Synapse Analytics,True,1588356323,2020-05-01,2020,5,1,1,442,['azure-synapse'],202005,2,Azure Synapse
What is the best approach between AAS Tabular model or SSAS Multidimensional in Azure Data Platform with Azure Synapse,True,1588452601,2020-05-02,2020,5,1,1,1242,"['azure', 'ssas', 'ssas-tabular', 'azure-synapse']",202005,2,Azure Synapse
How to insert multiple rows of a pandas dataframe into Azure Synapse SQL DW using pyodbc?,False,1588782012,2020-05-06,2020,5,2,1,781,"['azure', 'pyodbc', 'azure-sql-data-warehouse', 'azure-synapse']",202005,2,Azure Synapse
Ingesting a CSV file thru Polybase without knowing the sequence of columns,True,1588853868,2020-05-07,2020,5,1,0,93,"['azure', 'azure-data-lake', 'polybase', 'azure-synapse']",202005,2,Azure Synapse
Azure Synapse - retrieve inserted row identity value,False,1588942573,2020-05-08,2020,5,0,2,661,"['sql', 'azure-sql-data-warehouse', 'azure-synapse']",202005,2,Azure Synapse
Loading data from ADLS Gen 2 into Azure Synapse,False,1589372291,2020-05-13,2020,5,2,1,1867,"['sql-server', 'azure', 'azure-data-lake', 'azure-synapse', 'polybase']",202005,2,Azure Synapse
Roadmap for Azure SQL DW Hyperscale and Azure Synapse,True,1589488502,2020-05-14,2020,5,2,1,1009,"['azure', 'azure-sqldw', 'azure-synapse']",202005,2,Azure Synapse
Foreign Key constraints Synapse Azure,True,1589972963,2020-05-20,2020,5,2,5,1742,"['azure', 'foreign-keys', 'azure-synapse']",202005,2,Azure Synapse
Can azure blob storage use abfss protocol? Or does it only use wasbs?,True,1590005820,2020-05-20,2020,5,1,0,936,"['azure', 'azure-data-lake', 'azure-blob-storage', 'azure-sqldw', 'azure-synapse']",202005,2,Azure Synapse
Azure Synapse Analysis: Error while accessing the external table,True,1590043051,2020-05-21,2020,5,1,1,1335,"['external-tables', 'azure-data-lake-gen2', 'azure-synapse']",202005,2,Azure Synapse
Error- &quot;The size (12000) given to the type &#39;VarChar&#39; exceeds the maximum allowed (8000)&quot; in Azure dataware house,True,1590046479,2020-05-21,2020,5,1,0,195,"['azure', 'hadoop', 'data-warehouse', 'azure-synapse']",202005,2,Azure Synapse
how to schedule a query in Azure synapse on-demand,True,1590329497,2020-05-24,2020,5,1,0,665,['azure-synapse'],202005,2,Azure Synapse
Azure Synapse Analytics monitor rowgroup skipping,False,1590687887,2020-05-28,2020,5,1,0,123,"['sql-server', 'azure-sqldw', 'azure-synapse']",202005,2,Azure Synapse
Is there any way to monitor Azure Synapse Pipelines execution?,True,1590775408,2020-05-29,2020,5,1,1,175,"['azure-sqldw', 'azure-sql-data-warehouse', 'azure-synapse']",202005,2,Azure Synapse
Azure Synapse Analytics Error when using saveAsTable from a DataFrame which is loaded from a SQL source,False,1590967383,2020-06-01,2020,6,1,-1,586,['azure-synapse'],202006,2,Azure Synapse
Azure Synapse Studio - WorkFlow,True,1591452347,2020-06-06,2020,6,1,1,164,"['azure', 'azure-synapse']",202006,2,Azure Synapse
Partition expiration for a table in Azure Synapse Analytics,False,1591597790,2020-06-08,2020,6,0,1,58,"['azure', 'azure-synapse']",202006,2,Azure Synapse
Issue in YAMEL file,True,1591734372,2020-06-09,2020,6,1,-1,99,"['azure-devops', 'yaml', 'azure-pipelines', 'azure-synapse']",202006,2,Azure Synapse
Unable to file multiple BLOB to Synapse using data factory,False,1591773095,2020-06-10,2020,6,1,0,147,"['azure', 'azure-blob-storage', 'azure-data-factory', 'azure-synapse']",202006,2,Azure Synapse
What is the most appropriate way to copy data from SQL server to Azure synapses analytics,True,1591843083,2020-06-11,2020,6,1,0,95,"['azure', 'azure-data-factory', 'polybase', 'azure-synapse', 'azure-data-factory-pipeline']",202006,2,Azure Synapse
Databricks: save to DWH (Synapse) in consistent way,False,1591875081,2020-06-11,2020,6,0,2,85,"['databricks', 'azure-databricks', 'azure-synapse']",202006,2,Azure Synapse
Azure Data Factory Error - String or binary data would be truncated,True,1591888330,2020-06-11,2020,6,1,2,2297,"['azure', 'ssms', 'azure-synapse']",202006,2,Azure Synapse
insert on synapse DW in ssms,True,1591984338,2020-06-12,2020,6,2,2,1617,"['sql', 'ssms', 'azure-sql-data-warehouse', 'azure-synapse']",202006,2,Azure Synapse
"Is there any emulator for Azure data factory ,azure sql db and Synapse DB",False,1592408520,2020-06-17,2020,6,1,-1,534,"['azure-sql-database', 'azure-data-factory-2', 'azure-databricks', 'azure-synapse']",202006,2,Azure Synapse
Insert values statement can contain only constant literal values or variable references error while running below procedure,False,1592471248,2020-06-18,2020,6,0,0,191,"['sql-server', 'azure-sql-database', 'azure-synapse']",202006,2,Azure Synapse
Azure Synapse notebook can read from SQL pool when run manually but task fails in pipeline,False,1592486187,2020-06-18,2020,6,0,1,227,"['azure-data-factory', 'azure-sql-data-warehouse', 'azure-synapse']",202006,2,Azure Synapse
Databricks version 7.0 not behaving like version 6.3: class java.lang.Long cannot be cast to class java.lang.Integer,False,1592690833,2020-06-20,2020,6,1,1,568,"['azure-databricks', 'azure-sql-data-warehouse', 'azure-synapse']",202006,2,Azure Synapse
Why does azure synapse create a SQL Server in version 12 when the features require version 14 or 16 or above?,False,1592936439,2020-06-23,2020,6,0,0,75,"['sql-server', 'azure-synapse', 'workload']",202006,2,Azure Synapse
Connect to Synapse from DataBricks using Service Principal,False,1593092422,2020-06-25,2020,6,1,4,1677,"['azure-databricks', 'azure-synapse', 'azure-service-principal']",202006,2,Azure Synapse
Failed to retrieve this workspace error when attempting to launch Azure Synapse Studio,False,1593444233,2020-06-29,2020,6,1,0,287,"['azure', 'azure-sql-database', 'azure-synapse']",202006,2,Azure Synapse
Star Schema modeling Azure Synapse,True,1593462517,2020-06-29,2020,6,1,1,542,"['azure', 'azure-synapse']",202006,2,Azure Synapse
Avoid duplicates during parallel job run in Azure Synapse,True,1593505344,2020-06-30,2020,6,2,2,481,"['azure', 'azure-data-factory', 'azure-synapse']",202006,2,Azure Synapse
Stream Analytics output to Synapse Analytics in ARM template,False,1593609340,2020-07-01,2020,7,2,0,109,"['azure', 'azure-resource-manager', 'azure-stream-analytics', 'azure-synapse']",202007,2,Azure Synapse
Error o Azure Synapse Analytics - Could not allocate a new page for database,False,1593610020,2020-07-01,2020,7,0,1,226,"['azure', 'space', 'disk', 'azure-synapse']",202007,2,Azure Synapse
External table Azure Synapse does&#39;t returning data,True,1593703069,2020-07-02,2020,7,1,1,565,"['azure', 'azure-sql-data-warehouse', 'azure-synapse']",202007,2,Azure Synapse
Facing Issue in writing PySpark Dataframe to Azure Synapse,True,1593707962,2020-07-02,2020,7,2,3,1245,"['azure', 'pyspark', 'databricks', 'azure-databricks', 'azure-synapse']",202007,2,Azure Synapse
Event Hubs data to a SQL Data Warehouse (Synapse),True,1593861672,2020-07-04,2020,7,1,0,815,"['azure-functions', 'azure-eventhub', 'azure-eventgrid', 'azure-synapse', 'azure-eventhub-capture']",202007,2,Azure Synapse
"From Databricks to Azure Synapse Analytics: when we load a dataframe into table, why do we need to set parquet.writeLegacyFormat as True?",False,1594306077,2020-07-09,2020,7,1,0,470,"['apache-spark', 'azure-databricks', 'polybase', 'azure-synapse']",202007,2,Azure Synapse
COPY INTO from Azure Dala lake gen2 to Azure Synapse does nothing,False,1594356227,2020-07-10,2020,7,1,1,252,"['python', 'pandas', 'azure-data-lake-gen2', 'azure-synapse']",202007,2,Azure Synapse
Connecting to Azure Synapse SQL On-Demand leads to &quot;syscharsets is not supported&quot; error,True,1594362010,2020-07-10,2020,7,1,0,665,"['azure', 'odbc', 'azure-sql-database', 'azure-synapse']",202007,2,Azure Synapse
Bulk insert PySpark Dataframe in Azure Synapse from Databricks Python Notebook,False,1594572417,2020-07-12,2020,7,0,1,709,"['python', 'pyspark', 'azure-databricks', 'pyspark-dataframes', 'azure-synapse']",202007,2,Azure Synapse
Option to generate DDL in Azure SQL DW,False,1594648660,2020-07-13,2020,7,1,0,777,"['sql', 'ssms', 'azure-sqldw', 'azure-synapse']",202007,2,Azure Synapse
Azure Synapse analytics temporary table DDL,False,1594649045,2020-07-13,2020,7,1,0,788,"['azure', 'azure-synapse']",202007,2,Azure Synapse
